stage,closure_was_computed,selected_closure_method,selected_closure_status,selected_closure_elapsed_seconds,selected_closure_g_time,selected_closure_pressure_mpa,pressure_at_shut_in_mpa,tp_corrected_seconds,tp_legacy_volume_over_rate_seconds,pkn_model_name,pkn_model_version,pkn_volume_status,pkn_fracture_volume_m3,pkn_leakoff_volume_m3,pkn_nonstorage_volume_m3,pkn_shutin_storage_volume_m3,pkn_shutin_leakoff_before_closure_m3,pkn_shutin_fluid_efficiency,pkn_stable_storage_fraction,pkn_C_stage,pkn_H_w_m,pkn_I_F,stable_dP_dG_slope_mpa,stable_dP_dG_r2,microseismic_affected_volume,electromagnetic_affected_area,missing_estimate_reason
11,True,barree,ok,535.0,0.1101101624768113,110.2888,119.8388,9946.0,9706.616766467068,physical_pkn_storage,phase5d,ok,137.22878479672525,3016.7212152032757,3016.721215203275,208.0197360470677,2945.9302639529324,0.0659553055841302,0.0435101332604274,0.0013081614376344,50.0,0.722464726919,-63.49175310697185,0.95631763296579,179.0,17284.0,
12,True,barree,ok,408.0,0.0792588068682866,115.2092,120.6392,10767.0,9791.598401598403,physical_pkn_storage,phase5d,ok,175.99292690826655,3018.5670730917336,3018.5670730917336,209.36547042405263,2985.194529575948,0.0655381243188585,0.0550914451155297,0.0013140753196049,50.0,0.722464726919,-66.35892833914609,0.9826834913373204,170.5,19086.0,
13,True,barree,ok,498.0,0.1007258919398383,114.0977,120.7277,10184.0,9776.914628057912,physical_pkn_storage,phase5d,ok,171.45011316739811,3017.7698868326024,3017.769886832602,216.213668149032,2973.0063318509683,0.0677951562291193,0.0537592618782643,0.0013083971440115,50.0,0.722464726919,-64.25849229236424,0.9572002059626454,147.5,18679.0,
14,True,barree,ok,719.0,0.1425621180846588,112.5092,118.9292,10120.0,9783.318385650224,physical_pkn_storage,phase5d,ok,248.4166284654887,2949.9133715345106,2949.913371534511,327.26360278076606,2871.0663972192333,0.1023232758285624,0.0776707308081057,0.0007593816278832,50.0,0.722464726919,-37.17766336701263,0.924191325076089,155.0,18766.0,
15,True,barree,ok,737.0,0.1419726793727349,113.0979,118.7379,10420.0,10041.056829511466,physical_pkn_storage,phase5d,ok,247.1378197202137,3016.9621802797865,3016.962180279786,309.54059325242827,2954.559406747572,0.0948318351926804,0.0757139241200372,0.0008079891902539,50.0,0.722464726919,-40.13942608822044,0.9416691119566596,148.0,18822.0,
16,True,barree,ok,935.0,0.1667932970493636,109.097,116.087,11096.0,9999.899849774663,physical_pkn_storage,phase5d,ok,237.68139695330063,3001.4686030467,3001.4686030467,345.4821566434765,2893.667843356524,0.1066582765983287,0.0733777061739347,0.0005963571234184,50.0,0.722464726919,-30.57182633400711,0.9263196350305144,156.0,19625.0,
17,True,barree,ok,387.0,0.0538753548855084,114.2181,119.7081,15340.0,10198.50448654038,physical_pkn_storage,phase5d,ok,113.3282962249939,3227.1617037750066,3227.1617037750057,133.77414539000392,3206.7158546099963,0.0400462642875757,0.0339256504958835,0.0017826204888572,50.0,0.722464726919,-107.44923363009735,0.9869951416909892,185.0,17497.0,
18,True,barree,ok,765.0,0.1478193885591159,109.1321,116.4121,10353.0,10005.822532402792,physical_pkn_storage,phase5d,ok,182.2768482235174,3091.4931517764826,3091.4931517764826,256.8759497042064,3016.894050295793,0.0784648737401242,0.0556779640058762,0.0008935556282662,50.0,0.722464726919,-44.24726692781667,0.9679549122268288,142.5,18814.0,
19,True,barree,ok,765.0,0.1446900441493857,109.1486,116.4286,10596.0,10005.822532402792,physical_pkn_storage,phase5d,ok,177.5602778874597,3100.579722112541,3100.579722112541,250.1344509947475,3028.0055490052528,0.0763037731746501,0.0541649465512332,0.0009022280258075,50.0,0.722464726919,-45.1979811657909,0.9678623149425624,137.5,19766.0,
20,True,barree,ok,807.0,0.1557054269606453,110.1417,115.7517,10322.0,9955.152119700748,physical_pkn_storage,phase5d,ok,260.16161306348914,2995.7683869365105,2995.7683869365105,342.58409918019834,2913.345900819801,0.105218508745642,0.07990393315074,0.0006136127385516,50.0,0.722464726919,-30.339473710235577,0.9689026825056364,142.5,19083.0,
21,True,barree,ok,520.0,0.0783785344371242,110.8697,113.4697,13886.0,10106.440677966102,physical_pkn_storage,phase5d,ok,262.7947872133164,3041.1352127866844,3041.135212786684,298.2199513797776,3005.7100486202226,0.0902621881758323,0.0795400590246513,0.0005421280747261,50.0,0.722464726919,-31.090107763433696,0.9820180482503662,154.0,18058.0,
22,True,barree,ok,770.0,0.1470088346318915,108.8175,115.4175,10483.0,10120.119581464873,physical_pkn_storage,phase5d,ok,283.8109778340545,3037.7890221659454,3037.7890221659454,418.2489797114391,2903.3510202885614,0.125917925009465,0.0854440564288458,0.0004833152095612,50.0,0.722464726919,-24.08269046894603,0.9101394725711882,167.0,18714.0,
23,True,barree,ok,659.0,0.1316194471468348,109.0471,112.0771,10112.0,9719.973073375058,physical_pkn_storage,phase5d,ok,306.84652246312135,2875.873477536878,2875.873477536879,365.7563096522467,2816.963690347753,0.1149194115889071,0.0964101530964462,0.000434670149282,50.0,0.722464726919,-21.272086747772825,0.9679826523961202,170.5,18718.0,
24,True,barree,ok,858.0,0.1962485975991571,108.5759,112.5559,8521.0,8501.612368856986,physical_pkn_storage,phase5d,ok,298.38823924708976,2200.6917607529103,2200.691760752911,374.5232027376591,2124.556797262341,0.1498644312057473,0.119399234617175,0.0004221615767871,50.0,0.722464726919,-18.96512609371453,0.9739830658291696,161.0,13213.0,
25,False,none,not_computed,,,,,,,physical_pkn_storage,phase5d,not_computed,,,,,,,,,,,,,179.0,18072.0,no_valid_falloff_manifest_row
26,True,barree,ok,713.0,0.1402346386152089,111.9535,114.4635,10216.0,9843.441396508728,physical_pkn_storage,phase5d,ok,404.8031371249386,2821.9368628750617,2821.9368628750613,464.56199381955855,2762.178006180442,0.1439725524273906,0.1254526665070438,0.0003451634198244,50.0,0.722464726919,-17.896159302154896,0.9287712930227608,135.5,18208.0,
27,True,barree,ok,569.0,0.1145601071861022,112.5277,113.9677,10138.0,9790.204488778056,physical_pkn_storage,phase5d,ok,755.067039630543,2454.272960369457,2454.272960369457,822.9524375431474,2386.3875624568527,0.2564241986025623,0.2352717504628811,0.0001575821947805,50.0,0.722464726919,-8.139128778266354,0.8025836047824148,147.5,18927.0,
28,True,barree,ok,495.0,0.0998914045200975,107.3425,109.2425,10213.0,9871.061285500746,physical_pkn_storage,phase5d,ok,163.49529093233363,3077.3747090676657,3077.374709067666,182.47908293955,3058.3909170604497,0.0563055855185644,0.0504479633346396,0.0006312579352082,50.0,0.722464726919,-32.7248864262163,0.9448333258284888,171.0,17887.0,
29,True,barree,ok,346.0,0.0264490541025125,112.0772,127.7172,28745.0,9328.444666001997,physical_pkn_storage,phase5d,ok,25.488168051022765,3033.9618319489773,3033.961831948977,45.80202780471004,3013.64797219529,0.014970673750089,0.0083309640788451,0.0045394658414799,50.0,0.722464726919,-394.8030876771036,0.888107636113552,142.5,18985.0,
30,True,barree,ok,416.0,0.0866990860573421,108.2513,112.7913,9981.0,9698.545816733067,physical_pkn_storage,phase5d,ok,141.12093955284644,3041.179060447154,3041.179060447154,190.51131618841583,2991.788683811584,0.0598659196770938,0.0443455801001937,0.0008327945193967,50.0,0.722464726919,-42.67951915128282,0.9260390578626612,165.0,18197.0,
